,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
0,1.8216553,1.6523438,2.2751465,2.3450928,2.9245605,3.161621,3.5428467,3.6292725,3.6835938,4.072876,4.0891113,3.876587,4.588135,4.57666,4.7091064,5.156006,5.130493,5.1800537,5.2076416,5.3743896,5.3133545,5.3605957,5.7058105,6.093384,6.0633545,6.3049316,6.557251,6.6242676,7.071289,7.4138184,7.631958,7.934082,7.815674,8.075684,8.483276,8.213623,8.345093,8.729858,8.829346,10.084839,9.758423,10.380127,10.505981,10.681274,11.033325,11.224609,11.877197,13.051758,12.622559,11.884644,10.599243,11.550293,14.078857
1,1.5714111,1.9554443,2.376587,2.3615723,2.7543945,2.8597412,3.1241455,3.2891846,3.5297852,3.7641602,4.106201,3.9958496,4.227173,4.505371,4.5111084,4.954468,4.9143066,5.0166016,5.7020264,5.8360596,5.774292,6.015381,6.133789,6.854126,7.3651123,7.154663,7.9936523,8.2039795,8.363892,7.852539,8.759033,8.793701,9.964111,10.179077,10.238281,9.840088,10.686401,11.753784,12.467529,12.706299,11.799683,14.052124,13.142456,13.234131,13.495605,14.923096,15.722656,15.52063,15.52356,15.387207,13.99231,14.648682,15.462158
2,1.8840332,2.142334,2.3701172,2.4517822,2.6694336,2.9284668,3.1177979,3.3457031,3.9868164,4.177246,4.4490967,4.901367,5.0147705,5.183838,5.269043,5.2976074,5.6174316,5.82666,6.071045,6.31958,6.4609375,6.734497,6.829834,7.2006836,7.274292,7.6762695,7.7990723,8.074097,8.814209,8.94873,9.070679,8.696411,9.233276,9.836548,10.122803,10.465576,11.368652,10.755249,10.785522,10.235352,11.855103,11.629883,12.792603,13.744385,14.7404785,15.719116,16.173828,14.691406,13.246948,14.003052,15.668579,15.336548,16.42456
3,2.0495605,2.0361328,2.4238281,2.6119385,2.6711426,2.9377441,3.1530762,3.1820068,3.4455566,3.439209,3.727539,4.11438,4.6280518,4.7991943,5.1379395,5.2869873,5.52063,5.709839,5.7716064,6.378174,6.4248047,6.38208,6.550293,6.987793,7.11499,6.9293213,7.454834,7.7615967,8.2664795,7.717285,7.9803467,8.51062,8.86377,9.254395,10.081909,10.444702,10.809814,10.989136,11.250244,11.236572,11.56189,12.386841,13.598511,13.979858,14.56958,15.569092,15.71228,14.5859375,15.030273,15.322266,13.72998,14.021606,14.17688
4,1.9243164,1.9416504,2.23938,2.3535156,2.599121,2.9884033,2.9362793,3.1437988,3.5703125,3.3668213,3.630371,3.8220215,4.1219482,4.2078857,4.289551,4.2561035,4.38208,4.491699,4.6986084,5.3095703,6.0042725,6.173584,6.3553467,6.938965,7.0544434,7.7407227,8.02356,8.216431,8.679932,8.74646,9.381348,9.571289,9.172607,8.920044,9.355347,10.643066,11.097168,11.744385,12.030029,13.59729,13.163086,11.87854,12.41333,14.214966,15.354614,14.812378,15.233887,16.589844,17.118164,18.769165,17.940796,17.490479,17.66211
5,1.7418213,1.9349365,2.135376,2.501587,2.7351074,2.753662,2.9476318,2.9719238,3.3111572,3.4282227,3.7801514,3.9631348,4.293335,4.516968,4.320801,4.524414,4.9086914,5.0897217,5.2349854,5.4959717,5.4333496,5.849243,5.708618,5.536377,5.567383,5.9815674,6.276123,6.5822754,6.6209717,6.9056396,6.9241943,7.6745605,7.116577,7.6694336,8.369995,8.200684,8.824219,9.237793,9.187378,9.773926,10.166748,10.343628,10.373779,10.803467,11.257324,11.381958,11.521118,11.378906,12.200684,13.062988,11.792847,12.815918,13.792847
6,1.7028809,2.0429688,2.3624268,2.3461914,2.5499268,3.1347656,3.0875244,3.1779785,3.3388672,3.5876465,3.8277588,4.1795654,4.0976562,4.4257812,4.563843,4.600342,5.033203,5.0913086,5.7611084,5.8808594,6.034668,6.482666,6.6765137,7.4573975,7.30249,7.4625244,7.907959,8.491211,8.829468,8.527344,8.45166,8.855957,9.060303,8.991333,9.387451,10.411987,9.989868,9.963379,12.248535,13.328735,13.246216,13.065063,14.688477,14.882202,15.919556,15.5896,14.516968,16.805176,18.64038,18.420654,16.970947,16.181274,16.60437
7,1.6251221,2.109253,2.21521,2.5440674,2.7867432,2.9262695,3.109497,3.253296,3.3966064,3.607544,3.8183594,4.3120117,4.5808105,4.9104004,4.7227783,5.1451416,5.438965,5.7713623,6.265503,6.2755127,6.3737793,6.6260986,7.064087,7.2182617,7.1186523,7.275757,7.5736084,7.6463623,7.795044,7.9451904,8.328735,8.170044,8.10022,7.8842773,8.462524,9.041138,9.230835,8.631348,9.39209,9.78772,9.567993,9.859741,10.081909,9.970215,10.094238,9.761353,9.871826,10.940186,11.112305,11.244751,11.177734,11.0061035,11.246582
8,1.68396,1.9350586,2.1467285,2.4210205,2.4787598,2.574707,2.6461182,2.6003418,3.0601807,3.1219482,3.1846924,3.5289307,3.5982666,3.7355957,3.5233154,3.7611084,4.1671143,4.360962,4.617676,4.9958496,4.931885,4.876343,5.166626,4.914673,5.192993,5.2996826,5.7457275,5.4508057,5.344116,5.5528564,5.9403076,6.260376,6.647949,6.562134,6.2907715,6.806885,6.8776855,6.7685547,7.0458984,7.4506836,7.428467,7.2402344,7.491455,7.7227783,8.235718,8.140625,8.645386,8.746094,8.564941,9.115967,9.662842,9.053345,9.812622
9,1.8510742,2.0286865,2.2139893,2.3839111,2.713501,3.0063477,3.1099854,3.305664,3.3841553,3.6556396,3.86792,4.2562256,4.4520264,4.496216,4.8878174,4.835083,4.4345703,4.9472656,5.3099365,5.779175,5.8238525,5.907959,6.15271,6.5406494,6.4226074,6.5421143,6.663452,6.885498,7.239258,7.1226807,7.565918,7.9455566,8.156006,8.303955,8.113281,9.033936,9.716797,10.046143,10.59314,10.905273,11.221069,11.679443,13.829956,14.327759,13.426514,15.140991,14.84375,14.928589,15.214111,15.553711,15.236694,15.985352,14.834106
